 Sun, 10 Dec 2017 22:25:30  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Sun, 10 Dec 2017 22:25:45  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
 Sun, 10 Dec 2017 22:25:45  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Sun, 10 Dec 2017 22:26:01  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
 Sun, 10 Dec 2017 22:26:01  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Sun, 10 Dec 2017 22:26:24  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
 Sun, 10 Dec 2017 22:26:24  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Sun, 10 Dec 2017 22:26:41  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
 Sun, 10 Dec 2017 22:26:41  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Sun, 10 Dec 2017 22:26:56  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
 Sun, 10 Dec 2017 22:26:56  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Sun, 10 Dec 2017 22:27:18  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
 Sun, 10 Dec 2017 22:27:18  INFO logger.py info [ line:34 ] TestInvest测试用例开始执行……
 Sun, 10 Dec 2017 22:27:47  INFO logger.py info [ line:34 ] TestInvest测试用例执行结束……
 Sun, 10 Dec 2017 22:27:47  INFO logger.py info [ line:34 ] TestInvest测试用例开始执行……
 Sun, 10 Dec 2017 22:28:08  INFO logger.py info [ line:34 ] TestInvest测试用例执行结束……
 Sun, 10 Dec 2017 22:28:08  INFO logger.py info [ line:34 ] TestInvest测试用例开始执行……
 Sun, 10 Dec 2017 22:28:31  INFO logger.py info [ line:34 ] TestInvest测试用例执行结束……
 Mon, 11 Dec 2017 23:34:12  INFO logger.py info [ line:34 ] TestInvest测试用例开始执行……
 Mon, 11 Dec 2017 23:35:13  INFO logger.py info [ line:34 ] TestInvest测试用例执行结束……
 Mon, 11 Dec 2017 23:35:13  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Mon, 11 Dec 2017 23:35:32  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
 Fri, 22 Dec 2017 17:12:10  INFO logger.py info [ line:34 ] TestInvest测试用例开始执行……
 Fri, 22 Dec 2017 17:13:16  INFO logger.py info [ line:34 ] TestInvest测试用例执行结束……
 Fri, 22 Dec 2017 17:13:16  INFO logger.py info [ line:34 ] TestLogin测试用例开始执行……
 Fri, 22 Dec 2017 17:13:36  INFO logger.py info [ line:34 ] TestLogin测试用例结束……
